Name,Rating,Visitors,Historical,Natural,Amusement,Beach,State,Country,Description,City,Opening Hours
Manginapudi Beach,4.1,200000,2,3,3,5,Andhra Pradesh,India,A scenic beach located near Machilipatnam.,Machilipatnam,24 hours
Sri Venkateswara National Park,4.3,500000,2,5,3,0,Andhra Pradesh,India,A national park known for its biodiversity.,Tirupati,6:00 AM - 6:00 PM
Pavurallakonda,4.2,100000,4,4,2,0,Andhra Pradesh,India,An ancient Buddhist site near Bheemunipatnam.,Bheemunipatnam,9:00 AM - 5:00 PM
Yaganti Temple,4.4,200000,5,4,2,0,Andhra Pradesh,India,A temple dedicated to Lord Shiva.,Kurnool,6:00 AM - 9:00 PM
Maredumilli,4.5,150000,2,5,3,0,Andhra Pradesh,India,A forest area known for its waterfalls and natural beauty.,Maredumilli,6:00 AM - 6:00 PM
Rajahmundry Godavari Bridge,4.4,500000,3,4,3,0,Andhra Pradesh,India,A bridge over the Godavari River.,Rajahmundry,24 hours
Draksharamam Temple,4.5,300000,5,3,2,0,Andhra Pradesh,India,A historic temple dedicated to Lord Shiva.,Draksharama,5:00 AM - 8:00 PM
Suryalanka Beach,4.3,250000,2,3,3,5,Andhra Pradesh,India,A beach known for its scenic beauty.,Bapatla,24 hours
Sankaram,4.2,100000,4,3,2,0,Andhra Pradesh,India,An ancient Buddhist site in Anakapalle.,Anakapalle,9:00 AM - 5:00 PM
Simhachalam Temple,4.5,1000000,5,3,2,0,Andhra Pradesh,India,A famous temple dedicated to Lord Narasimha.,Visakhapatnam,6:00 AM - 9:00 PM
VUDA Park,4.2,700000,2,3,4,0,Andhra Pradesh,India,A park in Visakhapatnam with various attractions.,Visakhapatnam,9:00 AM - 8:00 PM
Dwaraka Tirumala,4.4,500000,5,3,2,0,Andhra Pradesh,India,A famous Hindu temple dedicated to Lord Venkateswara.,West Godavari,6:00 AM - 8:00 PM
Sriharikota,4.3,200000,3,3,3,0,Andhra Pradesh,India,A spaceport operated by the Indian Space Research Organisation.,Sriharikota,9:00 AM - 5:00 PM
Bavikonda,4.2,100000,4,3,2,0,Andhra Pradesh,India,An ancient Buddhist site near Visakhapatnam.,Visakhapatnam,9:00 AM - 5:00 PM
Belum Caves,4.5,250000,3,5,3,0,Andhra Pradesh,India,A cave system known for its stalactites and stalagmites.,Kurnool,9:00 AM - 5:00 PM
Annavaram Temple,4.5,1000000,5,3,2,0,Andhra Pradesh,India,A temple dedicated to Lord Satyanarayana.,East Godavari,6:00 AM - 9:00 PM
Nagarjunakonda,4.3,150000,5,4,2,0,Andhra Pradesh,India,An archaeological site known for its Buddhist ruins.,Nagarjunakonda,9:00 AM - 5:00 PM
Mysore Palace,4.7,3000000,5,2,2,0,Karnataka,India,"A historical palace located in Mysore, known for its grandeur and architecture.",Mysore,10:00 AM - 5:30 PM
Bangalore Palace,4.4,2000000,5,2,3,0,Karnataka,India,"A royal palace in Bangalore, known for its Tudor-style architecture.",Bangalore,10:00 AM - 5:30 PM
Hampi,4.7,1500000,5,3,1,0,Karnataka,India,"A UNESCO World Heritage site, known for its ancient temples and ruins.",Hampi,6:00 AM - 6:00 PM
Coorg,4.6,1200000,1,5,3,0,Karnataka,India,A popular hill station known for its coffee plantations and scenic beauty.,Coorg,24 hours
Lalbagh Botanical Garden,4.5,1000000,3,4,3,0,Karnataka,India,"A botanical garden in Bangalore, known for its collection of tropical plants.",Bangalore,6:00 AM - 7:00 PM
Bannerghatta National Park,4.3,900000,2,5,4,0,Karnataka,India,"A national park in Bangalore, known for its safari and zoo.",Bangalore,9:00 AM - 5:00 PM
Chikmagalur,4.6,800000,3,5,3,0,Karnataka,India,A hill station known for its coffee estates and pleasant climate.,Chikmagalur,24 hours
Badami Caves,4.5,700000,5,2,1,0,Karnataka,India,Ancient rock-cut caves known for their intricate carvings and sculptures.,Badami,9:00 AM - 5:30 PM
Nandi Hills,4.4,600000,2,5,3,0,Karnataka,India,"A popular hill station near Bangalore, known for its sunrise views.",Nandi,6:00 AM - 10:00 PM
Jog Falls,4.5,500000,3,5,3,0,Karnataka,India,"One of the highest waterfalls in India, located in the Western Ghats.",Shimoga,6:00 AM - 6:00 PM
Gokarna,4.6,400000,2,5,3,5,Karnataka,India,A coastal town known for its beaches and pilgrimage sites.,Gokarna,24 hours
Shravanabelagola,4.5,350000,5,2,1,0,Karnataka,India,"A Jain pilgrimage site, known for its massive statue of Lord Bahubali.",Hassan,6:00 AM - 6:00 PM
Gol Gumbaz,4.4,300000,5,2,1,0,Karnataka,India,"A mausoleum in Bijapur, known for its impressive dome.",Bijapur,10:00 AM - 5:00 PM
Murudeshwar,4.5,250000,3,5,3,5,Karnataka,India,A town known for its temple dedicated to Lord Shiva and its beach.,Murudeshwar,6:00 AM - 8:00 PM
Kabini Wildlife Sanctuary,4.6,200000,2,5,2,0,Karnataka,India,A wildlife sanctuary known for its population of elephants and tigers.,Kabini,6:00 AM - 6:00 PM
Bhadra Wildlife Sanctuary,4.4,150000,2,5,2,0,Karnataka,India,A wildlife sanctuary known for its diverse flora and fauna.,Bhadra,6:00 AM - 6:00 PM
Dandeli,4.5,100000,2,5,4,0,Karnataka,India,A town known for its adventure sports and wildlife sanctuary.,Dandeli,6:00 AM - 6:00 PM
Kudremukh,4.6,90000,3,5,3,0,Karnataka,India,A mountain range known for its scenic beauty and trekking routes.,Kudremukh,6:00 AM - 6:00 PM
Kemmangundi,4.4,80000,2,5,2,0,Karnataka,India,A hill station known for its coffee plantations and pleasant weather.,Kemmangundi,6:00 AM - 6:00 PM
Agumbe,4.3,75000,2,5,2,0,Karnataka,India,A village known for its rainforest and biodiversity.,Agumbe,24 hours
Chitradurga Fort,4.5,70000,5,2,1,0,Karnataka,India,A fort known for its historical significance and architecture.,Chitradurga,6:00 AM - 6:00 PM
Anshi National Park,4.4,65000,2,5,2,0,Karnataka,India,A national park known for its diverse wildlife and natural beauty.,Karwar,6:00 AM - 6:00 PM
Ramanagara,4.3,60000,1,4,2,0,Karnataka,India,A town known for its rock climbing and scenic beauty.,Ramanagara,6:00 AM - 6:00 PM
Savandurga,4.4,55000,2,4,2,0,Karnataka,India,A hill known for its monolithic rock and trekking trails.,Savandurga,6:00 AM - 6:00 PM
Horanadu,4.6,50000,3,5,2,0,Karnataka,India,A town known for its temple dedicated to Goddess Annapoorneshwari.,Horanadu,6:00 AM - 10:00 PM
Udupi Sri Krishna Matha,4.5,45000,5,3,2,0,Karnataka,India,A temple town known for its temple dedicated to Lord Krishna.,Udupi,5:00 AM - 9:30 PM
Kukke Subramanya Temple,4.5,40000,5,3,2,0,Karnataka,India,A temple town known for its temple dedicated to Lord Subramanya.,Kukke Subramanya,6:00 AM - 6:00 PM
Somnathpur Temple,4.4,35000,5,3,1,0,Karnataka,India,A town known for its ancient temple dedicated to Lord Keshava.,Somnathpur,6:00 AM - 6:00 PM
Bandipur National Park,4.3,30000,2,5,2,0,Karnataka,India,A national park known for its tiger reserve and wildlife.,Chamarajanagar,6:00 AM - 6:00 PM
Gavi Gangadhareshwara Temple,4.4,25000,5,2,1,0,Karnataka,India,"A cave temple in Bangalore, known for its rock-cut architecture.",Bangalore,6:00 AM - 6:00 PM
Munnar,4.6,2000000,2,5,2,0,Kerala,India,A popular hill station known for its tea gardens and scenic beauty.,Munnar,24 hours
Alleppey Backwaters,4.5,1800000,3,5,3,0,Kerala,India,"A network of serene canals and lagoons, known for houseboat cruises.",Alleppey,24 hours
Kumarakom,4.5,1500000,3,5,2,0,Kerala,India,A village known for its backwater tourism and bird sanctuary.,Kumarakom,24 hours
Thekkady,4.5,1200000,2,4,3,0,Kerala,India,A town known for its wildlife sanctuary and spice plantations.,Thekkady,6:00 AM - 6:00 PM
Wayanad,4.5,1000000,3,5,2,0,Kerala,India,"A district known for its waterfalls, caves, and wildlife.",Wayanad,24 hours
Kochi Fort,4.4,900000,5,3,3,0,Kerala,India,"A historic fort in Kochi, known for its colonial architecture.",Kochi,9:30 AM - 5:00 PM
Varkala Beach,4.6,850000,2,5,3,5,Kerala,India,A coastal town known for its cliffs and beach.,Varkala,24 hours
Bekal Fort,4.5,800000,5,3,2,0,Kerala,India,"A historic fort in Kasaragod, known for its scenic location.",Bekal,8:00 AM - 6:00 PM
Athirapally Waterfalls,4.5,750000,2,5,3,0,Kerala,India,A waterfall located in the Chalakudy River.,Athirapally,8:00 AM - 5:00 PM
Sree Padmanabhaswamy Temple,4.7,700000,5,3,2,0,Kerala,India,"A Hindu temple in Thiruvananthapuram, known for its rich history.",Thiruvananthapuram,3:30 AM - 7:30 PM
Poovar Island,4.4,650000,2,5,3,5,Kerala,India,A coastal village known for its golden sand beaches.,Poovar,24 hours
Kovalam Beach,4.5,600000,2,5,3,5,Kerala,India,A popular beach town near Thiruvananthapuram.,Kovalam,24 hours
Periyar Wildlife Sanctuary,4.4,550000,2,5,3,0,Kerala,India,A wildlife sanctuary located in Thekkady.,Thekkady,6:00 AM - 6:00 PM
Vagamon,4.5,500000,2,5,2,0,Kerala,India,A hill station known for its meadows and tea gardens.,Vagamon,24 hours
Ponmudi,4.4,450000,2,5,2,0,Kerala,India,A hill station known for its natural beauty.,Ponmudi,24 hours
Silent Valley National Park,4.5,400000,3,5,2,0,Kerala,India,A national park known for its tropical rainforest.,Silent Valley,6:00 AM - 6:00 PM
Thrissur Pooram,4.6,350000,4,2,3,0,Kerala,India,An annual Hindu festival held in Thrissur.,Thrissur,6:00 AM - 6:00 PM
Guruvayur Temple,4.7,300000,5,2,2,0,Kerala,India,"A Hindu temple in Guruvayur, known for its elephant sanctuary.",Guruvayur,3:00 AM - 9:15 PM
Munroe Island,4.5,250000,3,5,2,0,Kerala,India,An island located in the Ashtamudi Lake.,Munroe Island,24 hours
Ashtamudi Lake,4.4,200000,3,5,2,0,Kerala,India,"A large lake in Kollam, known for its houseboat cruises.",Ashtamudi,24 hours
Nelliampathy,4.5,150000,2,5,2,0,Kerala,India,A hill station known for its tea and coffee plantations.,Nelliampathy,24 hours
Malampuzha Dam,4.3,100000,2,3,2,0,Kerala,India,A dam and garden located in Palakkad.,Palakkad,9:00 AM - 5:00 PM
Thiruvananthapuram Zoo,4.2,90000,2,3,2,0,Kerala,India,A zoo located in Thiruvananthapuram.,Thiruvananthapuram,9:00 AM - 5:15 PM
Cherai Beach,4.5,80000,2,5,2,5,Kerala,India,"A beach located in Cherai, known for its golden sand.",Cherai,24 hours
Edakkal Caves,4.3,70000,3,3,2,0,Kerala,India,A prehistoric rock shelter located in Wayanad.,Wayanad,8:00 AM - 4:00 PM
Marari Beach,4.4,60000,2,5,2,5,Kerala,India,"A beach located in Alappuzha, known for its scenic beauty.",Alappuzha,24 hours
Anamudi Peak,4.5,50000,3,5,2,0,Kerala,India,"The highest peak in Kerala, located in the Western Ghats.",Munnar,24 hours
Veli Tourist Village,4.3,40000,2,3,2,5,Kerala,India,A tourist village located in Thiruvananthapuram.,Thiruvananthapuram,6:00 AM - 6:00 PM
Kottayam,4.4,30000,3,5,2,0,Kerala,India,A city known for its rubber plantations.,Kottayam,24 hours
Kuttanad,4.5,25000,3,5,2,0,Kerala,India,A region known for its backwaters and paddy fields.,Kuttanad,24 hours
Madurai Meenakshi Amman Temple,4.5,15000000,5,2,2,0,Tamil Nadu,India,A historic Hindu temple located in the city of Madurai.,Madurai,"5:00 AM - 12:30 PM, 4:00 PM - 10:00 PM"
Kapaleeshwarar Temple,4.5,5000000,5,2,2,0,Tamil Nadu,India,A temple dedicated to Lord Shiva located in Chennai.,Chennai,"5:00 AM - 12:00 PM, 4:00 PM - 9:00 PM"
Marina Beach,4.0,20000000,2,5,2,5,Tamil Nadu,India,A natural urban beach in Chennai.,Chennai,24 hours
Brihadeeswara Temple,5.0,1500000,5,2,2,0,Tamil Nadu,India,A Hindu temple dedicated to Shiva located in Thanjavur.,Thanjavur,"6:00 AM - 12:30 PM, 4:00 PM - 8:30 PM"
Besant Nagar Beach,4.0,5000000,2,5,2,5,Tamil Nadu,India,"A beach located in Besant Nagar, Chennai.",Chennai,24 hours
Arulmigu Ramanatha Swamy Temple,4.5,2000000,5,2,2,0,Tamil Nadu,India,A famous temple dedicated to Lord Shiva located in Rameswaram.,Rameswaram,"5:00 AM - 12:00 PM, 4:00 PM - 8:00 PM"
Snow Kingdom,5.0,500000,2,2,5,0,Tamil Nadu,India,An amusement park located in Chennai.,Chennai,10:00 AM - 6:00 PM
Monuments at Mahabalipuram,4.5,1700000,5,2,2,0,Tamil Nadu,India,A UNESCO World Heritage site known for its rock-cut sculptures.,Mahabalipuram,6:00 AM - 6:00 PM
Vivekananda Rock Memorial,4.5,1500000,5,2,2,0,Tamil Nadu,India,A memorial dedicated to Swami Vivekananda located in Kanyakumari.,Kanyakumari,7:00 AM - 4:00 PM
Chettinad,5.0,400000,5,2,2,0,Tamil Nadu,India,A region known for its palatial mansions and heritage.,Chettinad,24 hours
Kumbakonam,4.6,1000000,5,2,2,0,Tamil Nadu,India,A town known for its temples and religious significance.,Kumbakonam,"6:00 AM - 12:00 PM, 4:00 PM - 9:00 PM"
Trichy (Tiruchirappalli),4.1,2000000,5,2,2,0,Tamil Nadu,India,A city known for its ancient temples and historical significance.,Tiruchirappalli,"6:00 AM - 12:00 PM, 4:00 PM - 8:00 PM"
Chidambaram,4.6,800000,5,2,2,0,Tamil Nadu,India,A town known for its temples and religious significance.,Chidambaram,"6:00 AM - 12:00 PM, 4:00 PM - 9:00 PM"
Nagapattinam,5.0,600000,5,2,2,0,Tamil Nadu,India,A coastal town known for its temples and religious significance.,Nagapattinam,"6:00 AM - 12:00 PM, 4:00 PM - 8:00 PM"
Vedanthangal Bird Sanctuary,3.8,200000,2,5,2,0,Tamil Nadu,India,A bird sanctuary located in Kancheepuram district.,Vedanthangal,6:00 AM - 6:00 PM
Tharangambadi (Tranquebar),5.0,150000,5,2,2,0,Tamil Nadu,India,A coastal town known for its Danish colonial architecture.,Tharangambadi,6:00 AM - 6:00 PM
Courtallam (Kutralam),4.2,1000000,2,5,2,0,Tamil Nadu,India,A town known for its waterfalls and natural beauty.,Courtallam,6:00 AM - 6:00 PM
Bellikkal,4.5,100000,2,5,2,0,Tamil Nadu,India,A hill station known for its natural beauty and tranquility.,Bellikkal,24 hours
Vellore Fort,3.5,300000,5,2,2,0,Tamil Nadu,India,A historic fort located in the city of Vellore.,Vellore,9:00 AM - 5:00 PM
Yercaud,4.3,500000,2,5,2,0,Tamil Nadu,India,A hill station known for its coffee plantations and natural beauty.,Yercaud,24 hours
Kodaikanal Lake,4.4,800000,2,5,2,0,Tamil Nadu,India,A man-made lake located in the hill station of Kodaikanal.,Kodaikanal,6:00 AM - 6:00 PM
Hogenakkal Falls,4.3,700000,2,5,2,0,Tamil Nadu,India,A waterfall located in Dharmapuri district.,Dharmapuri,24 hours
Ooty Lake,4.2,1200000,2,5,2,0,Tamil Nadu,India,A man-made lake located in the hill station of Ooty.,Ooty,6:00 AM - 6:00 PM
Mysore Palace,4.6,3000000,5,2,2,0,Tamil Nadu,India,A historic palace located in the city of Mysore.,Mysore,24 hours
Nilgiri Mountain Railway,4.5,1500000,5,2,2,0,Tamil Nadu,India,A railway line connecting Mettupalayam and Ooty.,Ooty,24 hours
Annamalaiyar Temple,4.5,1000000,5,2,2,0,Tamil Nadu,India,A temple dedicated to Lord Shiva located in Tiruvannamalai.,Tiruvannamalai,6:00 AM - 8:00 PM
"Ranganathaswamy Temple, Srirangam",4.5,2000000,5,2,2,0,Tamil Nadu,India,A temple dedicated to Lord Vishnu located in Srirangam.,Srirangam,6:00 AM - 8:00 PM
Pichavaram Mangrove Forest,4.2,150000,2,5,2,0,Tamil Nadu,India,A mangrove forest located in Cuddalore district.,Cuddalore,6:00 AM - 6:00 PM
Pulicat Lake,4.1,200000,2,5,2,0,Tamil Nadu,India,A lagoon located in Nellore district.,Nellore,6:00 AM - 6:00 PM
Gangaikonda Cholapuram,4.7,250000,5,2,2,0,Tamil Nadu,India,A temple town known for its historical significance.,Gangaikonda Cholapuram,6:00 AM - 6:00 PM
Golconda Fort,4.5,3000000,5,2,2,0,Telangana,India,"A historic fort located in Hyderabad, known for its grandeur and architectural beauty.",Hyderabad,9:00 AM - 5:30 PM
Charminar,4.4,2500000,5,2,2,0,Telangana,India,An iconic monument and mosque located in Hyderabad.,Hyderabad,9:30 AM - 5:30 PM
Ramoji Film City,4.3,1800000,2,3,5,0,Telangana,India,"The world's largest film city located in Hyderabad, offering various entertainment options.",Hyderabad,9:00 AM - 7:30 PM
Birla Mandir,4.4,1500000,3,2,2,0,Telangana,India,"A famous Hindu temple located in Hyderabad, known for its white marble structure.",Hyderabad,"7:00 AM - 12:00 PM, 3:00 PM - 9:00 PM"
Salar Jung Museum,4.4,1200000,4,2,2,0,Telangana,India,"One of the largest museums in India, located in Hyderabad.",Hyderabad,10:00 AM - 5:00 PM
Nehru Zoological Park,4.2,1000000,2,4,3,0,Telangana,India,"A popular zoo located in Hyderabad, known for its diverse collection of animals.",Hyderabad,8:00 AM - 5:30 PM
Chowmahalla Palace,4.3,900000,4,2,2,0,Telangana,India,"A palace located in Hyderabad, known for its stunning architecture.",Hyderabad,10:00 AM - 5:00 PM
Hussain Sagar Lake,4.1,850000,2,4,3,0,Telangana,India,"A large artificial lake in Hyderabad, popular for boating and other activities.",Hyderabad,24 hours
Qutub Shahi Tombs,4.3,800000,4,2,2,0,Telangana,India,"A historical site in Hyderabad, featuring the tombs of the Qutub Shahi dynasty.",Hyderabad,9:30 AM - 5:30 PM
Lumbini Park,4.2,750000,2,3,4,0,Telangana,India,"A park located in Hyderabad, known for its musical fountain and laser show.",Hyderabad,9:00 AM - 8:00 PM
Snow World,4.1,700000,2,3,5,0,Telangana,India,An indoor snow theme park located in Hyderabad.,Hyderabad,11:00 AM - 9:00 PM
KBR National Park,4.3,650000,3,5,2,0,Telangana,India,"A national park located in Hyderabad, known for its diverse flora and fauna.",Hyderabad,"5:30 AM - 10:00 AM, 4:30 PM - 7:00 PM"
Purani Haveli,4.1,600000,4,2,2,0,Telangana,India,A historical palace located in Hyderabad.,Hyderabad,10:30 AM - 5:00 PM
Taramati Baradari,4.0,550000,4,3,3,0,Telangana,India,A historical pavilion located in Hyderabad.,Hyderabad,11:00 AM - 6:00 PM
Shilparamam,4.2,500000,2,3,4,0,Telangana,India,"A cultural village located in Hyderabad, showcasing the arts and crafts of Telangana.",Hyderabad,10:30 AM - 8:00 PM
Mecca Masjid,4.4,450000,5,2,2,0,Telangana,India,A grand mosque located in Hyderabad.,Hyderabad,"8:00 AM - 12:00 PM, 3:00 PM - 8:00 PM"
Birla Planetarium,4.1,400000,2,3,4,0,Telangana,India,"A planetarium located in Hyderabad, offering astronomical shows.",Hyderabad,10:30 AM - 8:00 PM
Mrugavani National Park,4.0,350000,2,5,2,0,Telangana,India,"A national park located in Hyderabad, known for its wildlife.",Hyderabad,9:00 AM - 5:00 PM
Mahavir Harina Vanasthali National Park,4.1,300000,3,5,2,0,Telangana,India,"A national park located in Hyderabad, known for its deer population.",Hyderabad,9:00 AM - 5:00 PM
Keesaragutta Temple,4.3,250000,4,2,2,0,Telangana,India,"A temple located in Keesara, known for its ancient architecture.",Keesara,"6:00 AM - 12:30 PM, 4:00 PM - 8:30 PM"
Ananthagiri Hills,4.2,200000,3,5,2,0,Telangana,India,"A hill station located near Hyderabad, known for its scenic beauty.",Vikarabad,24 hours
Pocharam Wildlife Sanctuary,4.0,150000,2,5,2,0,Telangana,India,A wildlife sanctuary located near Hyderabad.,Medak,6:00 AM - 6:00 PM
Medak Fort,4.1,100000,5,3,2,0,Telangana,India,A historic fort located in Medak.,Medak,10:00 AM - 5:00 PM
Bhongir Fort,4.2,90000,4,3,2,0,Telangana,India,A historic fort located in Bhongir.,Bhongir,10:00 AM - 5:00 PM
Warangal Fort,4.3,85000,5,2,2,0,Telangana,India,A historic fort located in Warangal.,Warangal,10:00 AM - 5:00 PM
Pakhal Lake,4.1,80000,3,5,2,0,Telangana,India,"A lake located near Warangal, known for its scenic beauty.",Warangal,24 hours
Khammam Fort,4.0,75000,4,2,2,0,Telangana,India,A historic fort located in Khammam.,Khammam,10:00 AM - 5:00 PM
Alampur,4.2,70000,4,3,2,0,Telangana,India,A temple town located in Alampur.,Alampur,"5:30 AM - 1:00 PM, 3:00 PM - 8:30 PM"
Bhadrachalam,4.1,65000,3,3,2,0,Telangana,India,A temple town located in Bhadrachalam.,Bhadrachalam,4:00 AM - 9:00 PM
Basara,4.3,60000,3,3,2,0,Telangana,India,A temple town known for its Saraswati temple.,Basara,4:00 AM - 9:00 PM
Kingdom of Dreams,4.5,1800000,2,2,5,0,Haryana,India,"A popular entertainment destination in Gurgaon, known for its live shows and cultural performances.",Gurgaon,12:00 PM - 12:00 AM
Sultanpur National Park,4.4,1000000,3,5,2,0,Haryana,India,"A national park located in Gurgaon, known for its bird sanctuary.",Gurgaon,7:00 AM - 4:30 PM
Kurukshetra,4.5,800000,5,3,2,0,Haryana,India,A historical city known for its association with the Mahabharata.,Kurukshetra,24 hours
Pinjore Gardens,4.4,600000,4,4,3,0,Haryana,India,"A Mughal garden located in Panchkula, known for its beautiful layout and fountains.",Panchkula,7:00 AM - 10:00 PM
Morni Hills,4.3,400000,3,5,2,0,Haryana,India,"A hill station located in Panchkula, known for its scenic beauty.",Panchkula,24 hours
Firoz Shah Palace Complex,4.2,200000,5,2,2,0,Haryana,India,A historical palace complex located in Hisar.,Hisar,8:00 AM - 6:00 PM
Badkhal Lake,4.3,300000,3,4,2,0,Haryana,India,"A natural lake located in Faridabad, popular for picnics and boating.",Faridabad,8:00 AM - 6:00 PM
Surajkund,4.4,500000,4,3,3,0,Haryana,India,"A popular site in Faridabad, known for its annual crafts fair.",Faridabad,9:00 AM - 7:00 PM
Brahma Sarovar,4.5,600000,5,2,2,0,Haryana,India,"A sacred tank located in Kurukshetra, associated with Lord Brahma.",Kurukshetra,5:00 AM - 8:00 PM
Cactus Garden,4.4,400000,3,4,2,0,Haryana,India,"A botanical garden located in Panchkula, known for its collection of cacti.",Panchkula,7:00 AM - 7:00 PM
Yadavindra Gardens,4.5,500000,4,3,3,0,Haryana,India,"A historic garden located in Pinjore, known for its Mughal architecture.",Pinjore,7:00 AM - 7:00 PM
Kaithal,4.3,300000,5,2,2,0,Haryana,India,A historic town known for its ancient temples.,Kaithal,24 hours
Panchkula,4.4,400000,2,3,2,0,Haryana,India,A city located in the foothills of the Shivalik range.,Panchkula,24 hours
Sohna,4.5,500000,4,4,3,0,Haryana,India,A town known for its hot springs and resorts.,Sohna,24 hours
Tilyar Lake,4.4,600000,2,5,2,0,Haryana,India,"A lake located in Rohtak, popular for boating and picnics.",Rohtak,8:00 AM - 6:00 PM
Blue Bird Lake,4.3,300000,2,4,2,0,Haryana,India,"A lake located in Hisar, known for its scenic beauty.",Hisar,8:00 AM - 6:00 PM
Ch. Devi Lal Herbal Nature Park,4.4,400000,2,5,2,0,Haryana,India,A herbal nature park located in Yamunanagar.,Yamunanagar,7:00 AM - 6:00 PM
Kalesar National Park,4.2,200000,3,5,2,0,Haryana,India,"A national park located in Yamunanagar, known for its diverse flora and fauna.",Yamunanagar,6:00 AM - 6:00 PM
Karna Lake,4.3,300000,2,4,2,0,Haryana,India,"A lake located in Karnal, popular for boating and picnics.",Karnal,8:00 AM - 6:00 PM
Krishna Museum,4.4,400000,4,2,2,0,Haryana,India,"A museum located in Kurukshetra, showcasing artifacts related to Lord Krishna.",Kurukshetra,10:00 AM - 5:00 PM
Bhindawas Wildlife Sanctuary,4.3,300000,3,5,2,0,Haryana,India,"A wildlife sanctuary located in Jhajjar, known for its bird population.",Jhajjar,6:00 AM - 6:00 PM
Dhosi Hill,4.2,200000,3,5,2,0,Haryana,India,"A hill located in Mahendragarh, known for its ancient fort.",Mahendragarh,24 hours
Pataudi Palace,4.3,300000,5,2,2,0,Haryana,India,"A palace located in Gurgaon, known for its architecture.",Gurgaon,10:00 AM - 5:00 PM
Nahar Singh Palace,4.4,400000,4,3,2,0,Haryana,India,A historical palace located in Faridabad.,Faridabad,10:00 AM - 5:00 PM
Asigarh Fort,4.3,300000,5,2,2,0,Haryana,India,A historic fort located in Hansi.,Hansi,24 hours
Cantonment Church Tower,4.2,200000,4,3,2,0,Haryana,India,A historic church tower located in Karnal.,Karnal,9:00 AM - 5:00 PM
Star Monument,4.3,300000,4,2,2,0,Haryana,India,"A monument located in Bhiwani, dedicated to Saint Rampal Ji Maharaj.",Bhiwani,8:00 AM - 6:00 PM
Rani Ka Talab,4.4,400000,3,3,2,0,Haryana,India,A historic tank located in Kaithal.,Kaithal,6:00 AM - 8:00 PM
Loharu Fort,4.3,300000,4,4,2,0,Haryana,India,A historic fort located in Loharu.,Loharu,24 hours
Feroz Shah Tughlaq Fort,4.2,200000,5,3,2,0,Haryana,India,A historic fort located in Hisar.,Hisar,9:00 AM - 5:00 PM
Dal Lake,4.7,2000000,2,5,2,0,Jammu and Kashmir,India,"A famous lake in Srinagar, known for its houseboats and shikara rides.",Srinagar,24 hours
Gulmarg,4.6,1500000,2,5,3,0,Jammu and Kashmir,India,A popular hill station and skiing destination.,Gulmarg,24 hours
Pahalgam,4.5,1200000,2,5,3,0,Jammu and Kashmir,India,A picturesque town known for its beautiful landscapes and trekking routes.,Pahalgam,24 hours
Sonamarg,4.6,800000,2,5,3,0,Jammu and Kashmir,India,A beautiful valley known for its scenic beauty and adventure activities.,Sonamarg,24 hours
Vaishno Devi Temple,4.8,8000000,5,2,2,0,Jammu and Kashmir,India,A famous Hindu pilgrimage site located in the Trikuta Mountains.,Katra,4:00 AM - 11:00 PM
