Name,Visits,Rating,state,country
Pulicat Lake,200000,4.1,Tamil Nadu,India
Gangaikonda Cholapuram,250000,4.7,Tamil Nadu,India

Golconda Fort,3000000,4.5,Telangana,India
Charminar,2500000,4.4,Telangana,India
Ramoji Film City,1800000,4.3,Telangana,India
Birla Mandir,1500000,4.4,Telangana,India
Salar Jung Museum,1200000,4.4,Telangana,India
Nehru Zoological Park,1000000,4.2,Telangana,India
Chowmahalla Palace,900000,4.3,Telangana,India
Hussain Sagar Lake,850000,4.1,Telangana,India
Qutub Shahi Tombs,800000,4.3,Telangana,India
Lumbini Park,750000,4.2,Telangana,India
Snow World,700000,4.1,Telangana,India
KBR National Park,650000,4.3,Telangana,India
Purani Haveli,600000,4.1,Telangana,India
Taramati Baradari,550000,4.0,Telangana,India
Shilparamam,500000,4.2,Telangana,India
Mecca Masjid,450000,4.4,Telangana,India
Birla Planetarium,400000,4.1,Telangana,India
Mrugavani National Park,350000,4.0,Telangana,India
Mahavir Harina Vanasthali National Park,300000,4.1,Telangana,India
Keesaragutta Temple,250000,4.3,Telangana,India
Ananthagiri Hills,200000,4.2,Telangana,India
Pocharam Wildlife Sanctuary,150000,4.0,Telangana,India
Medak Fort,100000,4.1,Telangana,India
Bhongir Fort,90000,4.2,Telangana,India
Warangal Fort,85000,4.3,Telangana,India
Pakhal Lake,80000,4.1,Telangana,India
Khammam Fort,75000,4.0,Telangana,India
Alampur,70000,4.2,Telangana,India
Bhadrachalam,65000,4.1,Telangana,India
Basara,60000,4.3,Telangana,India

Kingdom of Dreams,1800000,4.5,Haryana,India
Sultanpur National Park,1000000,4.4,Haryana,India
Kurukshetra,800000,4.5,Haryana,India
Pinjore Gardens,600000,4.4,Haryana,India
Morni Hills,400000,4.3,Haryana,India
Firoz Shah Palace Complex,200000,4.2,Haryana,India
Badkhal Lake,300000,4.3,Haryana,India
Surajkund,500000,4.4,Haryana,India
Brahma Sarovar,600000,4.5,Haryana,India
Cactus Garden,400000,4.4,Haryana,India
Yadavindra Gardens,500000,4.5,Haryana,India
Kaithal,300000,4.3,Haryana,India
Panchkula,400000,4.4,Haryana,India
Sohna,500000,4.5,Haryana,India
Tilyar Lake,600000,4.4,Haryana,India
Blue Bird Lake,300000,4.3,Haryana,India
Ch. Devi Lal Herbal Nature Park,400000,4.4,Haryana,India
Kalesar National Park,200000,4.2,Haryana,India
Karna Lake,300000,4.3,Haryana,India
Krishna Museum,400000,4.4,Haryana,India
Bhindawas Wildlife Sanctuary,300000,4.3,Haryana,India
Dhosi Hill,200000,4.2,Haryana,India
Pataudi Palace,300000,4.3,Haryana,India
Nahar Singh Palace,400000,4.4,Haryana,India
Asigarh Fort,300000,4.3,Haryana,India
Cantonment Church Tower,200000,4.2,Haryana,India
Star Monument,300000,4.3,Haryana,India
Rani Ka Talab,400000,4.4,Haryana,India
Loharu Fort,300000,4.3,Haryana,India
Feroz Shah Tughlaq Fort,200000,4.2,Haryana,India

Dal Lake,2000000,4.7,Jammu and Kashmir,India
Gulmarg,1500000,4.6,Jammu and Kashmir,India
Pahalgam,1200000,4.5,Jammu and Kashmir,India
Sonamarg,800000,4.6,Jammu and Kashmir,India
Vaishno Devi Temple,8000000,4.8,Jammu and Kashmir,India
Hemis Monastery,300000,4.6,Jammu and Kashmir,India
Shankaracharya Temple,400000,4.5,Jammu and Kashmir,India
Nubra Valley,500000,4.7,Jammu and Kashmir,India
Betaab Valley,600000,4.6,Jammu and Kashmir,India
Amarnath Cave,1000000,4.8,Jammu and Kashmir,India
Pangong Lake,1200000,4.7,Jammu and Kashmir,India
Shalimar Bagh,800000,4.6,Jammu and Kashmir,India
Nishat Bagh,700000,4.5,Jammu and Kashmir,India
Dachigam National Park,500000,4.6,Jammu and Kashmir,India
Indira Gandhi Memorial Tulip Garden,600000,4.7,Jammu and Kashmir,India
Mughal Road,400000,4.6,Jammu and Kashmir,India
Bhaderwah,300000,4.5,Jammu and Kashmir,India
Yusmarg,200000,4.4,Jammu and Kashmir,India
Sinthan Top,100000,4.3,Jammu and Kashmir,India
Aharbal Waterfall,300000,4.5,Jammu and Kashmir,India
Patnitop,700000,4.6,Jammu and Kashmir,India
Manasbal Lake,400000,4.5,Jammu and Kashmir,India
Sheeshnag Lake,200000,4.4,Jammu and Kashmir,India
Hari Parbat,300000,4.5,Jammu and Kashmir,India
Lamayuru Monastery,500000,4.6,Jammu and Kashmir,India
Surinsar Lake,600000,4.7,Jammu and Kashmir,India
Tso Moriri Lake,200000,4.5,Jammu and Kashmir,India
Dras War Memorial,100000,4.6,Jammu and Kashmir,India
Kheer Bhawani Temple,300000,4.5,Jammu and Kashmir,India
Sanasar Lake,400000,4.4,Jammu and Kashmir,India

Golden Temple,10000000,4.9,Punjab,India
Jallianwala Bagh,3000000,4.7,Punjab,India
Wagah Border,2500000,4.6,Punjab,India
Rock Garden of Chandigarh,1200000,4.5,Punjab,India
Sukhna Lake,1000000,4.4,Punjab,India
Anandpur Sahib,500000,4.6,Punjab,India
Durgiana Temple,700000,4.5,Punjab,India
Harike Wetland and Bird Sanctuary,300000,4.4,Punjab,India
Maharaja Ranjit Singh Museum,500000,4.5,Punjab,India
Partition Museum,400000,4.6,Punjab,India
Pushpa Gujral Science City,600000,4.5,Punjab,India
Virasat-e-Khalsa,700000,4.6,Punjab,India
Bathinda Fort,500000,4.5,Punjab,India
Sheesh Mahal,300000,4.4,Punjab,India
Quila Mubarak,400000,4.3,Punjab,India
Rose Garden,500000,4.6,Punjab,India
Ranjit Sagar Dam,600000,4.5,Punjab,India
Ram Tirath,300000,4.4,Punjab,India
Talwandi Sabo,400000,4.5,Punjab,India
Sirhind Fort,200000,4.3,Punjab,India
Faridkot Fort,300000,4.4,Punjab,India
Fateh Burj,400000,4.5,Punjab,India
Gurudwara Baba Atal Rai,200000,4.3,Punjab,India
"Kali Temple, Patiala",300000,4.4,Punjab,India
Gurdwara Manji Sahib,200000,4.5,Punjab,India
Devi Talab Mandir,300000,4.6,Punjab,India
Mukteshwar Temple,100000,4.4,Punjab,India
"Shiv Mandir, Gurudwara Nanak Mata",200000,4.3,Punjab,India
Lodhi Fort,300000,4.4,Punjab,India
Maharaja Ranjit Singh War Museum,400000,4.5,Punjab,India

Taj Mahal,7000000,4.9,Uttar Pradesh,India
Agra Fort,5000000,4.8,Uttar Pradesh,India
Fatehpur Sikri,4000000,4.7,Uttar Pradesh,India
Varanasi Ghats,6000000,4.8,Uttar Pradesh,India
Kashi Vishwanath Temple,5000000,4.7,Uttar Pradesh,India
Sarnath,3000000,4.6,Uttar Pradesh,India
Allahabad Triveni Sangam,4000000,4.7,Uttar Pradesh,India
Jhansi Fort,3000000,4.6,Uttar Pradesh,India
Rumi Darwaza,2000000,4.8,Uttar Pradesh,India
Lucknow Residency,1000000,4.7,Uttar Pradesh,India
Bara Imambara,2000000,4.6,Uttar Pradesh,India
Akbar's Tomb,1500000,4.7,Uttar Pradesh,India
Chitrakoot,1400000,4.8,Uttar Pradesh,India
Banke Bihari Temple,1300000,4.6,Uttar Pradesh,India
"Prem Mandir, Vrindavan",1200000,4.7,Uttar Pradesh,India
Bharat Mata Mandir,1100000,4.8,Uttar Pradesh,India
Dudhwa National Park,1000000,4.6,Uttar Pradesh,India
Mathura,900000,4.7,Uttar Pradesh,India
Ayodhya,800000,4.8,Uttar Pradesh,India
Sankat Mochan Hanuman Temple,700000,4.6,Uttar Pradesh,India
Kanpur Memorial Church,600000,4.7,Uttar Pradesh,India
Kakori,500000,4.6,Uttar Pradesh,India
Vindhyachal,400000,4.7,Uttar Pradesh,India
Hastinapur,300000,4.6,Uttar Pradesh,India
Naimisaranya,200000,4.8,Uttar Pradesh,India
Sarnath Museum,150000,4.7,Uttar Pradesh,India
Govardhan Hill,100000,4.8,Uttar Pradesh,India
Ramnagar Fort,90000,4.6,Uttar Pradesh,India
Sikandra,80000,4.7,Uttar Pradesh,India
Itmad-ud-Daula,70000,4.6,Uttar Pradesh,India

Gateway of India,7000000,4.8,Maharashtra,India
Ajanta Caves,6000000,4.7,Maharashtra,India
Ellora Caves,5000000,4.8,Maharashtra,India
Elephanta Caves,4000000,4.7,Maharashtra,India
Chhatrapati Shivaji Terminus,3000000,4.6,Maharashtra,India
Marine Drive,2000000,4.8,Maharashtra,India
Shaniwar Wada,1000000,4.7,Maharashtra,India
Mahabaleshwar,900000,4.8,Maharashtra,India
Lonavala,800000,4.7,Maharashtra,India
Siddhivinayak Temple,700000,4.6,Maharashtra,India
Haji Ali Dargah,600000,4.8,Maharashtra,India
Alibaug,500000,4.7,Maharashtra,India
Sinhagad Fort,400000,4.8,Maharashtra,India
Bibi Ka Maqbara,300000,4.7,Maharashtra,India
Kanheri Caves,200000,4.8,Maharashtra,India
Chikhaldara,100000,4.7,Maharashtra,India
Panchgani,90000,4.8,Maharashtra,India
Tadoba Andhari Tiger Reserve,80000,4.7,Maharashtra,India
Rajmachi Fort,70000,4.8,Maharashtra,India
Bhimashankar Temple,60000,4.7,Maharashtra,India
Pratapgad Fort,50000,4.8,Maharashtra,India
Aga Khan Palace,40000,4.7,Maharashtra,India
Elephanta Island,30000,4.8,Maharashtra,India
Lavasa,20000,4.7,Maharashtra,India
Nashik Vineyards,10000,4.8,Maharashtra,India
Aurangabad Caves,9000,4.7,Maharashtra,India
Karnala Bird Sanctuary,8000,4.8,Maharashtra,India
Hanging Gardens,7000,4.7,Maharashtra,India
Worli Sea Face,6000,4.8,Maharashtra,India
EsselWorld,5000,4.7,Maharashtra,India

Statue of Unity,2500000,4.9,Gujarat,India
Gir National Park,2000000,4.8,Gujarat,India
Rann of Kutch,1800000,4.7,Gujarat,India
Somnath Temple,2200000,4.8,Gujarat,India
Dwarkadhish Temple,2100000,4.7,Gujarat,India
Sabarmati Ashram,1900000,4.9,Gujarat,India
Laxmi Vilas Palace,1700000,4.8,Gujarat,India
Sardar Patel Stadium,1600000,4.7,Gujarat,India
Kankaria Lake,1500000,4.6,Gujarat,India
"Akshardham Temple, Gandhinagar",1400000,4.8,Gujarat,India
"Sun Temple, Modhera",1300000,4.7,Gujarat,India
Rani ki Vav,1200000,4.9,Gujarat,India
Vijay Vilas Palace,1100000,4.8,Gujarat,India
Saputara,1000000,4.7,Gujarat,India
Shatrunjaya Hill Temples,900000,4.8,Gujarat,India
Mandvi Beach,800000,4.7,Gujarat,India
Palitana,700000,4.8,Gujarat,India
Velavadar Blackbuck National Park,600000,4.7,Gujarat,India
Marine National Park,500000,4.8,Gujarat,India
Sidi Saiyyed Mosque,400000,4.6,Gujarat,India
Bhuj,300000,4.7,Gujarat,India
Nal Sarovar Bird Sanctuary,200000,4.8,Gujarat,India
Baroda Museum and Picture Gallery,100000,4.7,Gujarat,India
Gandhi Smriti,90000,4.6,Gujarat,India
Hutheesing Jain Temple,80000,4.8,Gujarat,India
Champaner-Pavagadh Archaeological Park,70000,4.7,Gujarat,India
Lothal,60000,4.8,Gujarat,India
Gopnath Beach,50000,4.7,Gujarat,India
Sarkhej Roza,40000,4.6,Gujarat,India
"Kirti Mandir, Porbandar",30000,4.8,Gujarat,India

Amber Fort,2500000,4.8,Rajasthan,India
"City Palace, Jaipur",2000000,4.7,Rajasthan,India
Hawa Mahal,2200000,4.6,Rajasthan,India
"Jantar Mantar, Jaipur",1800000,4.8,Rajasthan,India
Mehrangarh Fort,1600000,4.7,Rajasthan,India
Lake Pichola,1400000,4.8,Rajasthan,India
"City Palace, Udaipur",1500000,4.6,Rajasthan,India
Jaisalmer Fort,1300000,4.8,Rajasthan,India
Ranthambore National Park,1200000,4.9,Rajasthan,India
Pushkar Lake,1100000,4.6,Rajasthan,India
Chittorgarh Fort,1000000,4.7,Rajasthan,India
Kumbhalgarh Fort,900000,4.8,Rajasthan,India
Mount Abu,800000,4.7,Rajasthan,India
Ajmer Sharif Dargah,700000,4.6,Rajasthan,India
Umaid Bhawan Palace,600000,4.7,Rajasthan,India
Saheliyon Ki Bari,500000,4.6,Rajasthan,India
Jal Mahal,400000,4.8,Rajasthan,India
Nahargarh Fort,300000,4.7,Rajasthan,India
Bikaner Fort,200000,4.8,Rajasthan,India
Mandawa,150000,4.6,Rajasthan,India
Sariska Tiger Reserve,100000,4.7,Rajasthan,India
Keoladeo National Park,500000,4.8,Rajasthan,India
Bagore Ki Haveli,600000,4.7,Rajasthan,India
Sheesh Mahal,700000,4.6,Rajasthan,India
Sikar,400000,4.7,Rajasthan,India
Alwar Fort,500000,4.8,Rajasthan,India
Junagarh Fort,300000,4.7,Rajasthan,India
Panna Meena Ka Kund,200000,4.8,Rajasthan,India
Jaigarh Fort,600000,4.7,Rajasthan,India
Neemrana Fort,300000,4.6,Rajasthan,India

Victoria Memorial,4000000,4.8,West Bengal,India
Howrah Bridge,3500000,4.7,West Bengal,India
Sundarbans,3000000,4.8,West Bengal,India
Dakshineswar Kali Temple,2500000,4.7,West Bengal,India
Kalighat Kali Temple,2000000,4.6,West Bengal,India
Darjeeling Himalayan Railway,1500000,4.8,West Bengal,India
Indian Museum,1000000,4.7,West Bengal,India
Marble Palace,900000,4.8,West Bengal,India
Eden Gardens,800000,4.7,West Bengal,India
Belur Math,700000,4.6,West Bengal,India
Birla Planetarium,600000,4.8,West Bengal,India
St. Paul's Cathedral,500000,4.7,West Bengal,India
Science City,400000,4.8,West Bengal,India
Jorasanko Thakur Bari,300000,4.7,West Bengal,India
Rabindra Sarobar,200000,4.8,West Bengal,India
Alipore Zoo,150000,4.7,West Bengal,India
Netaji Bhawan,100000,4.8,West Bengal,India
Fort William,90000,4.7,West Bengal,India
Tipu Sultan Mosque,80000,4.8,West Bengal,India
Nicco Park,70000,4.7,West Bengal,India
Shantiniketan,60000,4.8,West Bengal,India
Digha Beach,50000,4.7,West Bengal,India
Bishnupur,40000,4.8,West Bengal,India
Murshidabad,30000,4.7,West Bengal,India
Cooch Behar Palace,20000,4.8,West Bengal,India
Sundarbans National Park,10000,4.7,West Bengal,India
Kolkata Tram,9000,4.8,West Bengal,India
Ganga Sagar,8000,4.7,West Bengal,India
Raj Bhavan,7000,4.8,West Bengal,India
Jaldapara National Park,6000,4.7,West Bengal,India

Calangute Beach,3000000,4.8,Goa,India
Baga Beach,2500000,4.7,Goa,India
Anjuna Beach,2200000,4.6,Goa,India
Colva Beach,2000000,4.7,Goa,India
Palolem Beach,1800000,4.8,Goa,India
Basilica of Bom Jesus,1600000,4.9,Goa,India
Se Cathedral,1500000,4.8,Goa,India
Fort Aguada,1400000,4.7,Goa,India
Dudhsagar Falls,1300000,4.8,Goa,India
Chapora Fort,1200000,4.7,Goa,India
Vagator Beach,1100000,4.8,Goa,India
Miramar Beach,1000000,4.7,Goa,India
Morjim Beach,900000,4.6,Goa,India
Candolim Beach,800000,4.8,Goa,India
Arambol Beach,700000,4.7,Goa,India
Shri Manguesh Temple,600000,4.8,Goa,India
Tambdi Surla,500000,4.7,Goa,India
Butterfly Beach,400000,4.8,Goa,India
Goa State Museum,300000,4.7,Goa,India
Reis Magos Fort,200000,4.6,Goa,India
Dona Paula,150000,4.8,Goa,India
Benaulim Beach,100000,4.7,Goa,India
Sinquerim Beach,90000,4.6,Goa,India
Salim Ali Bird Sanctuary,80000,4.8,Goa,India
Shantadurga Temple,70000,4.7,Goa,India
Cabo de Rama Fort,60000,4.6,Goa,India
St. Cajetan Church,50000,4.8,Goa,India
Fontainhas,40000,4.7,Goa,India
Betalbatim Beach,30000,4.6,Goa,India
Divar Island,20000,4.8,Goa,India

Kaziranga National Park,1200000,4.8,Assam,India
Kamakhya Temple,1100000,4.7,Assam,India
Majuli Island,1000000,4.6,Assam,India
Manas National Park,900000,4.7,Assam,India
Sivasagar,800000,4.8,Assam,India
Pobitora Wildlife Sanctuary,700000,4.7,Assam,India
Hajo,600000,4.6,Assam,India
Orang National Park,500000,4.8,Assam,India
Dibru-Saikhowa National Park,400000,4.7,Assam,India
Tocklai Tea Research Centre,300000,4.6,Assam,India
Diphu,200000,4.8,Assam,India
Bhalukpong,150000,4.7,Assam,India
Panimoor Falls,100000,4.6,Assam,India
Tezpur,90000,4.8,Assam,India
Sualkuchi,80000,4.7,Assam,India
Nameri National Park,70000,4.8,Assam,India
Umananda Temple,60000,4.7,Assam,India
Jorhat,50000,4.8,Assam,India
Silchar,40000,4.7,Assam,India
Dispur,30000,4.6,Assam,India
Dibrugarh,20000,4.8,Assam,India
Digboi,15000,4.7,Assam,India
Barpeta,10000,4.6,Assam,India
Haflong,9000,4.8,Assam,India
Chandubi Lake,8000,4.7,Assam,India
Karimganj,7000,4.6,Assam,India
Goalpara,6000,4.8,Assam,India
Morigaon,5000,4.7,Assam,India
North Cachar Hills,4000,4.6,Assam,India
Hailakandi,3000,4.8,Assam,India

Phawngpui National Park,300000,4.8,Mizoram,India
Vantawng Falls,250000,4.7,Mizoram,India
Serchhip,200000,4.6,Mizoram,India
Aizawl,180000,4.7,Mizoram,India
Champhai,160000,4.8,Mizoram,India
Reiek,140000,4.7,Mizoram,India
Mamit,120000,4.6,Mizoram,India
Lunglei,100000,4.8,Mizoram,India
Hmuifang,90000,4.7,Mizoram,India
Tamdil Lake,80000,4.6,Mizoram,India
Baktawng Village,70000,4.8,Mizoram,India
Dampa Tiger Reserve,60000,4.7,Mizoram,India
Thenzawl Deer Park,50000,4.6,Mizoram,India
Falkawn Village,40000,4.8,Mizoram,India
Hnahlan,30000,4.7,Mizoram,India
Zokhawthar,20000,4.6,Mizoram,India
Bungtlang,15000,4.8,Mizoram,India
Saiha,10000,4.7,Mizoram,India
Khawnglung Wildlife Sanctuary,9000,4.6,Mizoram,India
Murlen National Park,8000,4.8,Mizoram,India
Palak Dil,7000,4.7,Mizoram,India
Tlangnuam,6000,4.6,Mizoram,India
Durtlang Hills,5000,4.8,Mizoram,India
Sibuta Lung,4000,4.7,Mizoram,India
Biate,3000,4.6,Mizoram,India
Khawbung,2000,4.8,Mizoram,India
Sialsuk,1500,4.7,Mizoram,India
Thenzawl,1000,4.6,Mizoram,India
Saitual,900,4.8,Mizoram,India
Zorinpui,800,4.7,Mizoram,India

Khajuraho Temples,1500000,4.9,Madhya Pradesh,India
Bandhavgarh National Park,1400000,4.8,Madhya Pradesh,India
Kanha National Park,1300000,4.7,Madhya Pradesh,India
Sanchi Stupa,1200000,4.8,Madhya Pradesh,India
Bhedaghat,1100000,4.7,Madhya Pradesh,India
Bhimbetka Rock Shelters,1000000,4.9,Madhya Pradesh,India
Gwalior Fort,900000,4.8,Madhya Pradesh,India
Orchha,800000,4.7,Madhya Pradesh,India
Pachmarhi,700000,4.6,Madhya Pradesh,India
Ujjain,600000,4.8,Madhya Pradesh,India
Omkareshwar,500000,4.7,Madhya Pradesh,India
Mandu,400000,4.8,Madhya Pradesh,India
Jabalpur,300000,4.7,Madhya Pradesh,India
Maheshwar,200000,4.6,Madhya Pradesh,India
Panna National Park,100000,4.8,Madhya Pradesh,India
Satpura National Park,90000,4.7,Madhya Pradesh,India
Chitrakoot,80000,4.8,Madhya Pradesh,India
Pench National Park,70000,4.7,Madhya Pradesh,India
Jai Vilas Palace,60000,4.8,Madhya Pradesh,India
Shivpuri,50000,4.6,Madhya Pradesh,India
Bhojpur,40000,4.7,Madhya Pradesh,India
Chanderi,30000,4.8,Madhya Pradesh,India
Indore,20000,4.7,Madhya Pradesh,India
Bhopal,15000,4.6,Madhya Pradesh,India
Rewa,10000,4.8,Madhya Pradesh,India
Hanuwantiya,9000,4.7,Madhya Pradesh,India
Madhav National Park,8000,4.6,Madhya Pradesh,India
Raisen Fort,7000,4.8,Madhya Pradesh,India
Tawa Reservoir,6000,4.7,Madhya Pradesh,India
Ralamandal Wildlife Sanctuary,5000,4.6,Madhya Pradesh,India

Betla National Park,400000,4.8,Jharkhand,India
Dassam Falls,350000,4.7,Jharkhand,India
Hazaribagh Wildlife Sanctuary,300000,4.6,Jharkhand,India
Jonha Falls,250000,4.7,Jharkhand,India
Netarhat,200000,4.8,Jharkhand,India
Ranchi Hill,150000,4.7,Jharkhand,India
Hundru Falls,100000,4.6,Jharkhand,India
Maithon Dam,90000,4.8,Jharkhand,India
Deoghar,80000,4.7,Jharkhand,India
Jubilee Park,70000,4.6,Jharkhand,India
"Jagannath Temple, Ranchi",60000,4.8,Jharkhand,India
Pahari Mandir,50000,4.7,Jharkhand,India
Baidyanath Temple,40000,4.6,Jharkhand,India
Parasnath,30000,4.8,Jharkhand,India
Dimna Lake,20000,4.7,Jharkhand,India
Patratu Valley,15000,4.6,Jharkhand,India
Topchanchi Lake,10000,4.8,Jharkhand,India
Bhuvaneshwari Temple,9000,4.7,Jharkhand,India
Naulakha Mandir,8000,4.6,Jharkhand,India
Chandil Dam,7000,4.8,Jharkhand,India
Birsa Zoological Park,6000,4.7,Jharkhand,India
Madhuban,5000,4.6,Jharkhand,India
Sun Temple,4000,4.8,Jharkhand,India
Lodh Falls,3000,4.7,Jharkhand,India
Rajrappa,2000,4.6,Jharkhand,India
Chandrapura Dam,1500,4.8,Jharkhand,India
Usri Falls,1000,4.7,Jharkhand,India
Jamshedpur,900,4.6,Jharkhand,India
Panchet Dam,800,4.8,Jharkhand,India
Maluti Temples,700,4.7,Jharkhand,India

Jagannath Temple,800000,4.9,Odisha,India
Konark Sun Temple,750000,4.8,Odisha,India
Puri Beach,700000,4.7,Odisha,India
Chilika Lake,650000,4.8,Odisha,India
Nandankanan Zoological Park,600000,4.7,Odisha,India
Lingaraja Temple,550000,4.9,Odisha,India
